Signal,3035 - 75th St W 29th Ave W,Unnamed: 2,Unnamed: 3
05/17/21 00:00:02.100,1,Phase Begin Green,2
05/17/21 02:04:54.700,7,Phase Green Termination,2
05/17/21 02:04:54.700,8,Phase Begin Yellow Clearance,2
05/17/21 02:05:00.000,9,Phase End Yellow Clearance,2
05/17/21 02:05:00.000,10,Phase Begin Red Clearance,2
05/17/21 02:05:02.000,11,Phase End Red Clearance,2
05/17/21 02:05:17.300,1,Phase Begin Green,2
05/17/21 05:09:30.500,7,Phase Green Termination,2
05/17/21 05:09:30.500,8,Phase Begin Yellow Clearance,2
05/17/21 05:09:35.800,9,Phase End Yellow Clearance,2
05/17/21 05:09:35.800,10,Phase Begin Red Clearance,2
05/17/21 05:09:37.800,11,Phase End Red Clearance,2
05/17/21 05:09:53.100,1,Phase Begin Green,2
05/17/21 05:19:32.100,7,Phase Green Termination,2
05/17/21 05:19:32.100,8,Phase Begin Yellow Clearance,2
05/17/21 05:19:37.400,9,Phase End Yellow Clearance,2
05/17/21 05:19:37.400,10,Phase Begin Red Clearance,2
05/17/21 05:19:39.400,11,Phase End Red Clearance,2
05/17/21 05:19:54.700,1,Phase Begin Green,2
05/17/21 05:21:13.600,7,Phase Green Termination,2
05/17/21 05:21:13.600,8,Phase Begin Yellow Clearance,2
05/17/21 05:21:18.900,9,Phase End Yellow Clearance,2
05/17/21 05:21:18.900,10,Phase Begin Red Clearance,2
05/17/21 05:21:20.900,11,Phase End Red Clearance,2
05/17/21 05:21:36.200,1,Phase Begin Green,2
05/17/21 05:34:21.500,7,Phase Green Termination,2
05/17/21 05:34:21.500,8,Phase Begin Yellow Clearance,2
05/17/21 05:34:26.800,9,Phase End Yellow Clearance,2
05/17/21 05:34:26.800,10,Phase Begin Red Clearance,2
05/17/21 05:34:28.800,11,Phase End Red Clearance,2
05/17/21 05:34:44.100,1,Phase Begin Green,2
05/17/21 05:58:32.200,7,Phase Green Termination,2
05/17/21 05:58:32.200,8,Phase Begin Yellow Clearance,2
05/17/21 05:58:37.500,9,Phase End Yellow Clearance,2
05/17/21 05:58:37.500,10,Phase Begin Red Clearance,2
05/17/21 05:58:39.500,11,Phase End Red Clearance,2
05/17/21 05:58:55.000,1,Phase Begin Green,2
05/17/21 06:02:40.000,7,Phase Green Termination,2
05/17/21 06:02:40.000,8,Phase Begin Yellow Clearance,2
05/17/21 06:02:45.300,9,Phase End Yellow Clearance,2
05/17/21 06:02:45.300,10,Phase Begin Red Clearance,2
05/17/21 06:02:47.300,11,Phase End Red Clearance,2
05/17/21 06:03:02.600,1,Phase Begin Green,2
05/17/21 06:09:13.600,7,Phase Green Termination,2
05/17/21 06:09:13.600,8,Phase Begin Yellow Clearance,2
05/17/21 06:09:18.900,9,Phase End Yellow Clearance,2
05/17/21 06:09:18.900,10,Phase Begin Red Clearance,2
05/17/21 06:09:20.900,11,Phase End Red Clearance,2
05/17/21 06:09:36.200,1,Phase Begin Green,2
05/17/21 06:26:33.100,7,Phase Green Termination,2
05/17/21 06:26:33.100,8,Phase Begin Yellow Clearance,2
05/17/21 06:26:38.400,9,Phase End Yellow Clearance,2
05/17/21 06:26:38.400,10,Phase Begin Red Clearance,2
05/17/21 06:26:40.400,11,Phase End Red Clearance,2
05/17/21 06:26:55.700,1,Phase Begin Green,2
05/17/21 06:34:59.400,7,Phase Green Termination,2
05/17/21 06:34:59.400,8,Phase Begin Yellow Clearance,2
05/17/21 06:35:04.700,9,Phase End Yellow Clearance,2
05/17/21 06:35:04.700,10,Phase Begin Red Clearance,2
05/17/21 06:35:06.700,11,Phase End Red Clearance,2
05/17/21 06:35:22.000,1,Phase Begin Green,2
05/17/21 06:38:19.900,7,Phase Green Termination,2
05/17/21 06:38:19.900,8,Phase Begin Yellow Clearance,2
05/17/21 06:38:25.200,9,Phase End Yellow Clearance,2
05/17/21 06:38:25.200,10,Phase Begin Red Clearance,2
05/17/21 06:38:27.200,11,Phase End Red Clearance,2
05/17/21 06:38:42.500,1,Phase Begin Green,2
05/17/21 06:39:59.800,7,Phase Green Termination,2
05/17/21 06:39:59.800,8,Phase Begin Yellow Clearance,2
05/17/21 06:40:05.100,9,Phase End Yellow Clearance,2
05/17/21 06:40:05.100,10,Phase Begin Red Clearance,2
05/17/21 06:40:07.100,11,Phase End Red Clearance,2
05/17/21 06:40:23.600,1,Phase Begin Green,2
05/17/21 06:46:43.300,7,Phase Green Termination,2
05/17/21 06:46:43.300,8,Phase Begin Yellow Clearance,2
05/17/21 06:46:48.600,9,Phase End Yellow Clearance,2
05/17/21 06:46:48.600,10,Phase Begin Red Clearance,2
05/17/21 06:46:50.600,11,Phase End Red Clearance,2
05/17/21 06:47:05.900,1,Phase Begin Green,2
05/17/21 06:48:19.800,7,Phase Green Termination,2
05/17/21 06:48:19.800,8,Phase Begin Yellow Clearance,2
05/17/21 06:48:25.100,9,Phase End Yellow Clearance,2
05/17/21 06:48:25.100,10,Phase Begin Red Clearance,2
05/17/21 06:48:27.100,11,Phase End Red Clearance,2
05/17/21 06:48:42.400,1,Phase Begin Green,2
05/17/21 06:49:59.800,7,Phase Green Termination,2
05/17/21 06:49:59.800,8,Phase Begin Yellow Clearance,2
05/17/21 06:50:05.100,9,Phase End Yellow Clearance,2
05/17/21 06:50:05.100,10,Phase Begin Red Clearance,2
05/17/21 06:50:07.100,11,Phase End Red Clearance,2
05/17/21 06:50:22.400,1,Phase Begin Green,2
05/17/21 06:56:39.700,7,Phase Green Termination,2
05/17/21 06:56:39.700,8,Phase Begin Yellow Clearance,2
05/17/21 06:56:45.000,9,Phase End Yellow Clearance,2
05/17/21 06:56:45.000,10,Phase Begin Red Clearance,2
05/17/21 06:56:47.000,11,Phase End Red Clearance,2
05/17/21 06:57:02.300,1,Phase Begin Green,2
05/17/21 06:58:19.700,7,Phase Green Termination,2
05/17/21 06:58:19.700,8,Phase Begin Yellow Clearance,2
05/17/21 06:58:25.000,9,Phase End Yellow Clearance,2
05/17/21 06:58:25.000,10,Phase Begin Red Clearance,2
